Rank & Title,IMDb Rating
1. The Shawshank Redemption (1994),9.2
10. Fight Club (1999),8.8
100. The Sting (1973),8.3
101. Good Will Hunting (1997),8.3
102. Toy Story 3 (2010),8.3
103. The Hunt (2012),8.3
104. Snatch (2000),8.3
105. Scarface (1983),8.2
106. Monty Python and the Holy Grail (1975),8.2
107. For a Few Dollars More (1965),8.2
108. L.A. Confidential (1997),8.2
109. The Apartment (1960),8.2
11. The Lord of the Rings: The Fellowship of the Ring (2001),8.8
110. Metropolis (1927),8.2
111. A Separation (2011),8.2
112. Indiana Jones and the Last Crusade (1989),8.2
113. Rashomon (1950),8.2
114. Up (2009),8.2
115. All About Eve (1950),8.2
116. Batman Begins (2005),8.2
117. Yojimbo (1961),8.2
118. Some Like It Hot (1959),8.2
119. Unforgiven (1992),8.2
12. Forrest Gump (1994),8.7
120. Downfall (2004),8.2
121. Die Hard (1988),8.2
122. The Treasure of the Sierra Madre (1948),8.2
123. Heat (1995),8.2
124. Ikiru (1952),8.2
125. Incendies (2010),8.2
126. Raging Bull (1980),8.2
127. The Great Escape (1963),8.2
128. Children of Heaven (1997),8.2
129. Pan's Labyrinth (2006),8.2
13. Star Wars: Episode V - The Empire Strikes Back (1980),8.7
130. My Father and My Son (2005),8.2
131. Chinatown (1974),8.2
132. The Third Man (1949),8.2
133. Bohemian Rhapsody (2018),8.2
134. My Neighbor Totoro (1988),8.2
135. Howl's Moving Castle (2004),8.2
136. Ran (1985),8.2
137. Judgment at Nuremberg (1961),8.2
138. The Secret in Their Eyes (2009),8.2
139. The Gold Rush (1925),8.2
14. Inception (2010),8.7
140. The Bridge on the River Kwai (1957),8.2
141. A Beautiful Mind (2001),8.2
"142. Lock, Stock and Two Smoking Barrels (1998)",8.2
143. Casino (1995),8.2
"144. Three Billboards Outside Ebbing, Missouri (2017)",8.2
145. On the Waterfront (1954),8.2
146. The Seventh Seal (1957),8.2
147. Inside Out (2015),8.1
148. The Elephant Man (1980),8.1
149. Room (2015),8.1
15. The Lord of the Rings: The Two Towers (2002),8.7
150. The Wolf of Wall Street (2013),8.1
151. Mr. Smith Goes to Washington (1939),8.1
152. V for Vendetta (2005),8.1
153. Warrior (2011),8.1
154. Blade Runner (1982),8.1
155. Dial M for Murder (1954),8.1
156. Wild Strawberries (1957),8.1
157. The General (1926),8.1
158. No Country for Old Men (2007),8.1
159. Trainspotting (1996),8.1
16. One Flew Over the Cuckoo's Nest (1975),8.7
160. There Will Be Blood (2007),8.1
161. Roma (2018),8.1
162. The Sixth Sense (1999),8.1
163. Gone with the Wind (1939),8.1
164. The Thing (1982),8.1
165. Fargo (1996),8.1
166. Gran Torino (2008),8.1
167. The Deer Hunter (1978),8.1
168. Finding Nemo (2003),8.1
169. Come and See (1985),8.1
17. Goodfellas (1990),8.7
170. The Big Lebowski (1998),8.1
171. Sherlock Jr. (1924),8.1
172. Shutter Island (2010),8.1
173. Kill Bill: Vol. 1 (2003),8.1
174. Cool Hand Luke (1967),8.1
175. Rebecca (1940),8.1
176. Tokyo Story (1953),8.1
177. Mary and Max (2009),8.1
178. Hacksaw Ridge (2016),8.1
179. Gone Girl (2014),8.1
18. The Matrix (1999),8.6
180. How to Train Your Dragon (2010),8.1
181. Sunrise (1927),8.1
182. Wild Tales (2014),8.1
183. Jurassic Park (1993),8.1
184. Into the Wild (2007),8.1
185. Life of Brian (1979),8.1
186. In the Name of the Father (1993),8.1
187. The Truman Show (1998),8.1
188. The Grand Budapest Hotel (2014),8.1
189. Platoon (1986),8.1
19. Seven Samurai (1954),8.6
190. Stand by Me (1986),8.1
191. It Happened One Night (1934),8.1
192. The Bandit (1996),8.1
193. Network (1976),8.1
194. Stalker (1979),8.1
195. Persona (1966),8.1
196. Memories of Murder (2003),8.1
197. Ben-Hur (1959),8.1
198. Hotel Rwanda (2004),8.1
199. 12 Years a Slave (2013),8.1
2. The Godfather (1972),9.2
20. City of God (2002),8.6
200. Million Dollar Baby (2004),8.1
201. Rush (2013),8.1
202. The Passion of Joan of Arc (1928),8.1
203. The Wages of Fear (1953),8.1
204. Andrei Rublev (1966),8.1
205. Before Sunrise (1995),8.1
206. Mad Max: Fury Road (2015),8.1
207. The 400 Blows (1959),8.1
208. Prisoners (2013),8.1
209. Spotlight (2015),8.1
21. Se7en (1995),8.6
210. Hachi: A Dog's Tale (2009),8.1
211. Logan (2017),8.1
212. Amores Perros (2000),8.1
213. Rang De Basanti (2006),8.1
214. The Princess Bride (1987),8.1
215. Catch Me If You Can (2002),8.1
216. Nausicaä of the Valley of the Wind (1984),8
217. Harry Potter and the Deathly Hallows: Part 2 (2011),8
218. Butch Cassidy and the Sundance Kid (1969),8
219. Rocky (1976),8
22. Star Wars: Episode IV - A New Hope (1977),8.6
220. Barry Lyndon (1975),8
"221. Monsters, Inc. (2001)",8
222. The Grapes of Wrath (1940),8
223. The Maltese Falcon (1941),8
224. Dead Poets Society (1989),8
225. Donnie Darko (2001),8
226. The Terminator (1984),8
227. Gandhi (1982),8
228. Diabolique (1955),8
229. La Haine (1995),8
23. The Silence of the Lambs (1991),8.6
230. Groundhog Day (1993),8
231. The Wizard of Oz (1939),8
232. Jaws (1975),8
233. The Nights of Cabiria (1957),8
234. The Help (2011),8
235. In the Mood for Love (2000),8
236. Tangerines (2013),8
237. Before Sunset (2004),8
238. Paper Moon (1973),8
239. The Handmaiden (2016),8
24. It's a Wonderful Life (1946),8.6
240. Castle in the Sky (1986),8
"241. Paris, Texas (1984)",8
242. The Best Years of Our Lives (1946),8
243. Blade Runner 2049 (2017),8
244. La La Land (2016),8
245. Sanjuro (1962),8
246. Pirates of the Caribbean: The Curse of the Black Pearl (2003),8
247. Guardians of the Galaxy (2014),8
248. Fanny and Alexander (1982),8
249. Beauty and the Beast (1991),8
25. Life Is Beautiful (1997),8.6
250. Gangs of Wasseypur (2012),8
26. The Usual Suspects (1995),8.5
27. Spirited Away (2001),8.5
28. Saving Private Ryan (1998),8.5
29. Léon: The Professional (1994),8.5
3. The Godfather: Part II (1974),9
30. Spider-Man: Into the Spider-Verse (2018),8.5
31. The Green Mile (1999),8.5
32. Interstellar (2014),8.5
33. Psycho (1960),8.5
34. American History X (1998),8.5
35. City Lights (1931),8.5
36. Once Upon a Time in the West (1968),8.5
37. Casablanca (1942),8.5
38. Modern Times (1936),8.5
39. The Pianist (2002),8.5
4. The Dark Knight (2008),9
40. The Intouchables (2011),8.5
41. The Departed (2006),8.5
42. Terminator 2: Judgment Day (1991),8.5
43. Back to the Future (1985),8.5
44. Whiplash (2014),8.5
45. Rear Window (1954),8.5
46. Raiders of the Lost Ark (1981),8.5
47. The Lion King (1994),8.5
48. Gladiator (2000),8.5
49. The Prestige (2006),8.5
5. 12 Angry Men (1957),8.9
50. Apocalypse Now (1979),8.4
51. Memento (2000),8.4
52. Alien (1979),8.4
53. The Great Dictator (1940),8.4
54. Cinema Paradiso (1988),8.4
55. Avengers: Infinity War (2018),8.4
56. Grave of the Fireflies (1988),8.4
57. Sunset Boulevard (1950),8.4
58. The Lives of Others (2006),8.4
59. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.4
6. Schindler's List (1993),8.9
60. Paths of Glory (1957),8.4
61. The Shining (1980),8.4
62. Django Unchained (2012),8.4
63. WALL·E (2008),8.4
64. Princess Mononoke (1997),8.4
65. Witness for the Prosecution (1957),8.4
66. American Beauty (1999),8.4
67. The Dark Knight Rises (2012),8.3
68. Oldboy (2003),8.3
69. Aliens (1986),8.3
7. The Lord of the Rings: The Return of the King (2003),8.9
70. Once Upon a Time in America (1984),8.3
71. Coco (2017),8.3
72. Das Boot (1981),8.3
73. Citizen Kane (1941),8.3
74. Braveheart (1995),8.3
75. Vertigo (1958),8.3
76. North by Northwest (1959),8.3
77. Reservoir Dogs (1992),8.3
78. Star Wars: Episode VI - Return of the Jedi (1983),8.3
79. M (1931),8.3
8. Pulp Fiction (1994),8.9
80. Your Name. (2016),8.3
81. Amadeus (1984),8.3
82. Requiem for a Dream (2000),8.3
83. Dangal (2016),8.3
84. Taare Zameen Par (2007),8.3
85. Lawrence of Arabia (1962),8.3
86. Eternal Sunshine of the Spotless Mind (2004),8.3
87. A Clockwork Orange (1971),8.3
88. 3 Idiots (2009),8.3
89. 2001: A Space Odyssey (1968),8.3
"9. The Good, the Bad and the Ugly (1966)",8.8
90. Amélie (2001),8.3
91. Toy Story (1995),8.3
92. Double Indemnity (1944),8.3
93. Taxi Driver (1976),8.3
94. Singin' in the Rain (1952),8.3
95. Inglourious Basterds (2009),8.3
96. Full Metal Jacket (1987),8.3
97. To Kill a Mockingbird (1962),8.3
98. Bicycle Thieves (1948),8.3
99. The Kid (1921),8.3
